Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,Result,HomeTeamCode,AwayTeamCode,time,hour,RefereeCode,HomeTeam_Form_Score,AwayTeam_Form_Score,HomeTeam_Overall_Rating,AwayTeam_Overall_Rating,B365_result,H2H_HomeForm,H2H_AwayForm
E0,2022-06-08,15:00:00,Newcastle,Nott'm Forest,S Hooper,1.66,3.8,5.25,1,17,19,15:00:00,15,33,3,0,0.507,0.374,1,0.0,0.0
E0,2022-06-08,15:00:00,Tottenham,Southampton,A Marriner,1.33,5.5,8.5,1,23,21,15:00:00,15,2,3,-3,0.506,0.197,1,0.5,0.5
E0,2022-06-08,17:30:00,Everton,Chelsea,C Pawson,5.5,4.0,1.61,2,8,6,17:30:00,17,5,2,2,0.344,0.525,2,1.5,0.5
E0,2022-07-08,14:00:00,Leicester,Brentford,J Gillett,2.0,3.75,3.5,0,12,3,14:00:00,14,12,2,1,0.299,0.415,1,1.0,1.0
E0,2022-07-08,14:00:00,Man United,Brighton,P Tierney,1.6,4.2,5.25,2,16,4,14:00:00,14,26,3,2,0.496,0.46,1,1.0,0.0
E0,2022-07-08,16:30:00,West Ham,Man City,M Oliver,8.0,5.0,1.36,2,25,15,16:30:00,16,22,1,3,0.39,0.74,2,0.5,0.5
E0,2022-08-13,12:30:00,Aston Villa,Everton,M Oliver,1.8,3.5,4.75,1,1,8,12:30:00,12,22,-1,-2,0.503,0.344,1,1.0,1.0
E0,2022-08-13,15:00:00,Arsenal,Leicester,D England,1.53,4.33,5.75,1,0,12,15:00:00,15,8,1,-1,0.684,0.299,1,1.0,1.0
E0,2022-08-13,15:00:00,Brighton,Newcastle,G Scott,2.45,3.2,3.0,0,4,17,15:00:00,15,10,1,-1,0.46,0.507,1,0.5,0.5
E0,2022-08-13,15:00:00,Man City,Bournemouth,D Coote,1.06,13.0,29.0,1,15,2,15:00:00,15,7,4,0,0.74,0.401,1,0.0,0.0
E0,2022-08-13,15:00:00,Southampton,Leeds,T Harrington,2.25,3.5,3.1,0,21,11,15:00:00,15,36,-3,2,0.197,0.276,1,1.5,0.5
E0,2022-08-13,15:00:00,Wolves,Fulham,J Brooks,2.3,3.3,3.2,0,26,9,15:00:00,15,11,-2,0,0.362,0.425,1,0.0,0.0
E0,2022-08-13,17:30:00,Brentford,Man United,S Attwell,3.75,3.5,2.0,1,3,16,17:30:00,17,31,2,-5,0.415,0.496,2,0.0,0.0
